date,serial_number,model,capacity_bytes,failure,smart_9_raw,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_194_raw
2024-07-01,SYN00000,SYN-MODEL,8000000000000,0,26316.0,0.0,0.0,0.0,0.0,0.0,26.4
2024-07-02,SYN00000,SYN-MODEL,8000000000000,0,26340.0,0.0,0.0,0.0,0.0,0.0,25.3
2024-07-03,SYN00000,SYN-MODEL,8000000000000,0,26364.0,0.0,0.0,0.0,0.0,0.0,23.9
2024-07-04,SYN00000,SYN-MODEL,8000000000000,0,26388.0,0.0,0.0,0.0,0.0,0.0,23.8
2024-07-05,SYN00000,SYN-MODEL,8000000000000,0,26412.0,0.0,0.0,0.0,0.0,0.0,24.8
2024-07-06,SYN00000,SYN-MODEL,8000000000000,0,26436.0,0.0,0.0,0.0,0.0,0.0,23.9
2024-07-07,SYN00000,SYN-MODEL,8000000000000,0,26460.0,0.0,0.0,0.0,0.0,0.0,24.0
2024-07-08,SYN00000,SYN-MODEL,8000000000000,0,26484.0,0.0,0.0,0.0,3.0,0.0,23.7
2024-07-09,SYN00000,SYN-MODEL,8000000000000,0,26508.0,0.0,0.0,0.0,3.0,0.0,23.6
2024-07-10,SYN00000,SYN-MODEL,8000000000000,0,26532.0,0.0,0.0,0.0,3.0,0.0,25.3
2024-07-11,SYN00000,SYN-MODEL,8000000000000,0,26556.0,0.0,0.0,0.0,3.0,0.0,22.5
2024-07-12,SYN00000,SYN-MODEL,8000000000000,0,26580.0,0.0,0.0,0.0,3.0,0.0,23.5
2024-07-13,SYN00000,SYN-MODEL,8000000000000,0,26604.0,1.0,0.0,0.0,4.0,0.0,23.5
2024-07-14,SYN00000,SYN-MODEL,8000000000000,0,26628.0,1.0,0.0,0.0,4.0,0.0,24.6
2024-07-15,SYN00000,SYN-MODEL,8000000000000,0,26652.0,1.0,0.0,0.0,5.0,0.0,25.4
2024-07-16,SYN00000,SYN-MODEL,8000000000000,0,26676.0,1.0,0.0,0.0,6.0,0.0,23.2
2024-07-17,SYN00000,SYN-MODEL,8000000000000,0,26700.0,1.0,0.0,0.0,6.0,0.0,25.8
2024-07-18,SYN00000,SYN-MODEL,8000000000000,0,26724.0,1.0,0.0,0.0,6.0,0.0,24.7
2024-07-19,SYN00000,SYN-MODEL,8000000000000,0,26748.0,1.0,0.0,0.0,6.0,0.0,23.5
2024-07-20,SYN00000,SYN-MODEL,8000000000000,0,26772.0,1.0,0.0,0.0,7.0,0.0,22.9
2024-07-21,SYN00000,SYN-MODEL,8000000000000,0,26796.0,3.0,0.0,0.0,8.0,0.0,23.3
2024-07-22,SYN00000,SYN-MODEL,8000000000000,0,26820.0,3.0,0.0,0.0,9.0,0.0,24.1
2024-07-23,SYN00000,SYN-MODEL,8000000000000,0,26844.0,3.0,0.0,0.0,9.0,0.0,26.6
2024-07-24,SYN00000,SYN-MODEL,8000000000000,0,26868.0,3.0,0.0,0.0,9.0,0.0,24.4
